Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
103,18054180,1315 GRANT AV,40.598942,-74.424629,HOTSPOT PTRL,10/15/2018 9:50,10/15/2018 10:33,43.3
101,18054188,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,10/15/2018 10:48,10/15/2018 10:51,3
101,18054212,200 MUHLENBERG PL,40.609789,-74.431789,HOTSPOT PTRL,10/15/2018 13:14,10/15/2018 13:38,24.32
106,18054244,1346 EAST 2ND ST,40.638286,-74.405701,HOTSPOT PTRL,10/15/2018 16:00,10/15/2018 16:02,1.43
103,18054361,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,10/16/2018 10:09,10/16/2018 10:26,16.82
101,18054365,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,10/16/2018 10:16,10/16/2018 10:36,19.6
102,18054568,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,10/17/2018 7:51,10/17/2018 8:23,32.23
103,18054588,1315 GRANT AV,40.598942,-74.424629,HOTSPOT PTRL,10/17/2018 9:11,10/17/2018 9:26,14.57
104,18054926,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,10/18/2018 21:36,10/18/2018 21:52,15.83
101,18055084,200 POND PL,40.605443,-74.438583,PROACTIVE PTRL,10/19/2018 18:07,10/19/2018 18:20,12.92
102,18055501,215 WEST FRONT ST,40.617769,-74.424698,HOTSPOT PTRL,10/22/2018 7:42,10/22/2018 8:11,28.98
101,18055529,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,10/22/2018 10:04,10/22/2018 10:22,17.42
102,18055535,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,10/22/2018 10:46,10/22/2018 11:42,55.97
103,18055704,538 WEST 7TH ST,40.609464,-74.423818,HOTSPOT PTRL,10/23/2018 9:18,10/23/2018 9:42,23.53
108,18055732,1147 SOUTH AV,40.629917,-74.400891,HOTSPOT PTRL,10/23/2018 11:54,10/23/2018 12:06,12.12
102,18055910,215 WEST FRONT ST,40.617769,-74.424698,HOTSPOT PTRL,10/24/2018 9:39,10/24/2018 10:12,32.55
101,18055912,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,10/24/2018 9:57,10/24/2018 10:18,21.35
103,18055938,1315 GRANT AV,40.598942,-74.424629,HOTSPOT PTRL,10/24/2018 11:50,10/24/2018 11:52,2.17
101,18055944,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,10/24/2018 12:03,10/24/2018 12:24,21.53
103,18056445,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,10/27/2018 8:15,10/27/2018 8:47,31.92
106,18056446,839 GEORGE ST,40.629319,-74.409123,HOTSPOT PTRL,10/27/2018 8:17,10/27/2018 8:44,27.83
101,18057027,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,10/30/2018 11:15,10/30/2018 11:29,14.87
101,18057503,700 WEST 4TH ST,40.608181,-74.430726,HOTSPOT PTRL,11/1/2018 11:19,11/1/2018 11:35,16.03
101,18057721,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,11/2/2018 9:29,11/2/2018 9:50,21.23
101,18057752,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,11/2/2018 11:38,11/2/2018 12:00,21.43
101,18057845,740 WEST 7TH ST,40.605278,-74.428879,HOTSPOT PTRL,11/2/2018 20:45,11/2/2018 21:04,19.93
101,18058037,700 WEST FRONT ST,40.610951,-74.434416,HOTSPOT PTRL,11/3/2018 21:44,11/3/2018 21:57,13.72
101,18058044,740 WEST 7TH ST,40.605278,-74.428879,HOTSPOT PTRL,11/3/2018 22:24,11/3/2018 22:34,10.65
103,18058158,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,11/4/2018 14:56,11/4/2018 15:10,14.8
106,18058634,900 EAST FRONT ST,40.632226,-74.412959,PROACTIVE PTRL,11/7/2018 7:45,11/7/2018 8:06,21.05
104,18058635,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,11/7/2018 7:56,11/7/2018 8:09,13.08
101,18058650,700 WEST 3RD ST,40.608822,-74.431786,HOTSPOT PTRL,11/7/2018 9:48,11/7/2018 10:29,40.43
101,18058681,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,11/7/2018 12:18,11/7/2018 12:25,6.43
106,18058682,800 GEORGE ST,40.628329,-74.410319,HOTSPOT PTRL,11/7/2018 12:21,11/7/2018 12:37,16.23
101,18058909,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,11/8/2018 11:14,11/8/2018 11:20,5.97
101,18058971,700 WEST 4TH ST,40.608181,-74.430726,HOTSPOT PTRL,11/8/2018 16:33,11/8/2018 16:41,8.7
103,18059340,538 WEST 7TH ST,40.609464,-74.423818,HOTSPOT PTRL,11/10/2018 10:45,11/10/2018 11:05,19.65
103,18059523,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,11/11/2018 12:40,11/11/2018 12:54,14
101,18060231,740 WEST 7TH ST,40.605278,-74.428879,PROACTIVE PTRL,11/16/2018 0:19,11/16/2018 0:35,16.33
101,18060297,1810 WEST FRONT ST,40.596166,-74.456544,HOTSPOT PTRL,11/16/2018 12:32,11/16/2018 12:43,11.42
101,18060443,100 WAYNEWOOD PRK,40.611937,-74.432965,HOTSPOT PTRL,11/17/2018 1:05,11/17/2018 1:24,18.8
104,18060496,200 EAST FRONT ST,40.620206,-74.422044,HOTSPOT PTRL,11/17/2018 9:40,11/17/2018 9:44,4.27
105,18060900,750 WEBSTER PL,40.621273,-74.407101,HOTSPOT PTRL,11/19/2018 13:55,11/19/2018 14:09,14
106,18061027,LELAND GARDENS BLDG'S 1 TO 4 / 1227 EAST FRONT ST,40.63688,-74.41063,HOTSPOT PTRL,11/20/2018 2:03,11/20/2018 2:20,16.08
105,18061124,248 EAST 9TH ST,40.616682,-74.412557,HOTSPOT PTRL,11/20/2018 16:00,11/20/2018 16:03,2.88
104,18061224,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,11/21/2018 3:15,11/21/2018 3:30,14.83
104,18061360,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,11/21/2018 21:58,11/21/2018 22:06,8.13
104,18061372,128 EAST FRONT ST,40.619097,-74.423226,PROACTIVE PTRL,11/21/2018 22:54,11/21/2018 23:02,7.77
104,18061398,200 EAST FRONT ST,40.620206,-74.422044,HOTSPOT PTRL,11/22/2018 1:40,11/22/2018 1:50,10.28
104,18061520,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,11/23/2018 0:03,11/23/2018 0:19,15.7
101,18061553,1314 WEST FRONT ST,40.602471,-74.446771,HOTSPOT PTRL,11/23/2018 7:28,11/23/2018 7:51,22.3
105,18061743,248 EAST 9TH ST,40.616682,-74.412557,HOTSPOT PTRL,11/24/2018 10:51,11/24/2018 11:23,31.4
